date,dex_volume_usd,curve_volume_usd,bridge_deposit_usd,bridge_withdraw_usd,bridge_net_flow,eth_stablecoin_supply,eth_stablecoin_minted,eth_stablecoin_bridged
2023-08-22,2584021138,371507231.0,123428868.9003988,105036271.38290401,18392597.517494798,67134548222,74594600489,100845935
2023-08-23,2156766503,97794172.0,114961078.3096658,315742318.7637886,-200781240.45412278,67060352771,74521444297,100853046
2023-08-24,1625327015,101307336.0,115831774.80330329,109423710.14226608,6408064.661037207,67175308399,74580938527,100834794
2023-08-25,1757729845,109157418.0,116306520.62273932,113023623.04930848,3282897.573430836,67099246607,74487263303,100882711
2023-08-26,1000246991,48845610.0,108798645.68869677,89051497.09080346,19747148.597893313,67160736560,74555342412,100841035
2023-08-27,1001983250,42942107.0,115411821.1405377,85031077.08709568,30380744.053442016,67242764129,74644125912,100791218
2023-08-28,1590426904,92518770.0,97425978.52695371,110152951.41800977,-12726972.89105606,67326209849,74735690813,100885638
2023-08-29,2714892635,187190192.0,139718603.92017257,156141958.48656976,-16423354.56639719,67388636866,74779002923,100772284
2023-08-30,1545627010,145874991.0,121567350.44892773,125285991.33200926,-3718640.8830815256,67562058492,74956686566,100950851
2023-08-31,2092055504,113142010.0,136458615.56195053,150597348.43407443,-14138732.872123897,67488398583,74882609313,100658083
2023-09-01,1961154710,132175514.0,117333581.4420579,91494016.41120338,25839565.03085451,67449368544,74863479537,100627956
2023-09-02,1071303295,85097762.0,89970515.16885588,67945487.28837027,22025027.88048561,67398177377,74823064441,100675951
2023-09-03,1071388821,41346477.0,93169535.17745495,71346253.575586,21823281.601868942,67386591131,74809735737,100757480
2023-09-04,1298402670,56700755.0,103079104.04802072,196627831.54910368,-93548727.50108296,67428507288,74861528042,100781319
2023-09-05,1430265467,95285245.0,120268538.32363346,101852375.50351918,18416162.820114285,67178409985,74611836212,100740214
2023-09-06,1829010174,177784294.0,122517861.14169332,144906793.91494793,-22388932.773254603,66854176509,74293735425,100765584
2023-09-07,1518339321,110526866.0,135649863.44953194,135683591.3292725,-33727.879740566015,66645848084,74071985560,100769239
2023-09-08,1425140228,69564482.0,129097358.824995,99068433.91965741,30028924.905337587,66452223798,73890486790,100823134
2023-09-09,904680071,32475412.0,122449157.85535268,134896375.3834468,-12447217.528094128,66491270640,73948192873,100705246
2023-09-10,1410174837,43721806.0,138722671.36947122,105459015.7980753,33263655.57139592,66542447166,74012076237,100815158
2023-09-11,2366711446,139786113.0,118845871.03247477,119715675.37080806,-869804.3383332938,66655053123,74134964282,100965760
2023-09-12,2222233212,187085983.0,157761964.2324079,134644749.5530779,23117214.67932999,66543716220,73993968284,100709849
2023-09-13,1720852612,116196965.0,105286638.10757324,151524126.5563867,-46237488.44881347,66554337893,74037180782,100983144
2023-09-14,1805129472,67969975.0,121287811.87272128,118343618.05357657,2944193.819144711,66577443417,74052551971,100993290
2023-09-15,1609625264,111605562.0,137562880.11717615,134668859.18966076,2894020.9275153875,66485249061,73962109424,100920281
