date,hhi_component,share_pct,tier,volume_usd
2023-04-23 00:00:00.000 UTC,2103.46,45.86,Tier3,66054328.865347
2023-04-24 00:00:00.000 UTC,7411.93,86.09,Tier1,855111416.398034
2023-04-24 00:00:00.000 UTC,193.42,13.91,Tier3,138135406.77483696
2023-04-25 00:00:00.000 UTC,7720.98,87.87,Tier1,788707963.956108
2023-04-25 00:00:00.000 UTC,0,0.01,Tier2,115484.52
2023-04-25 00:00:00.000 UTC,146.85,12.12,Tier3,108770591.14712198
2023-04-26 00:00:00.000 UTC,7828.64,88.48,Tier1,986604002.978447
2023-04-26 00:00:00.000 UTC,132.72,11.52,Tier3,128459939.05776295
2023-04-27 00:00:00.000 UTC,7755.32,88.06,Tier1,1394383070.1521492
2023-04-27 00:00:00.000 UTC,142.46,11.94,Tier3,188986197.85065004
2023-04-28 00:00:00.000 UTC,8395.54,91.63,Tier1,1002621338.0911717
2023-04-28 00:00:00.000 UTC,0.01,0.09,Tier2,1001284.53
2023-04-28 00:00:00.000 UTC,68.58,8.28,Tier3,90617396.00814998
2023-04-29 00:00:00.000 UTC,969.22,31.13,Tier1,93736318.31055899
2023-04-29 00:00:00.000 UTC,2255.69,47.49,Tier2,143000000
2023-04-29 00:00:00.000 UTC,456.83,21.37,Tier3,64353355.224838994
2023-04-30 00:00:00.000 UTC,4504.99,67.12,Tier1,131494098.57055801
2023-04-30 00:00:00.000 UTC,1081.14,32.88,Tier3,64417094.47149199
2023-05-01 00:00:00.000 UTC,6159.87,78.48,Tier1,585050200.3801888
2023-05-01 00:00:00.000 UTC,462.9,21.52,Tier3,160380491.740755
2023-05-02 00:00:00.000 UTC,6747.72,82.14,Tier1,861742683.0775928
2023-05-02 00:00:00.000 UTC,31.63,5.62,Tier2,59000000
2023-05-02 00:00:00.000 UTC,149.61,12.23,Tier3,128314404.08049601
2023-05-03 00:00:00.000 UTC,7842.02,88.56,Tier1,870100262.252298
2023-05-03 00:00:00.000 UTC,130.98,11.44,Tier3,112451041.87792398
2023-05-04 00:00:00.000 UTC,8077.4,89.87,Tier1,630610064.7170061
2023-05-04 00:00:00.000 UTC,102.53,10.13,Tier3,71047191.908728
2023-05-05 00:00:00.000 UTC,8352.74,91.39,Tier1,1200122012.6705525
2023-05-05 00:00:00.000 UTC,74.07,8.61,Tier3,113017346.005629
2023-05-06 00:00:00.000 UTC,2838.48,53.28,Tier1,134150471.36586003
2023-05-06 00:00:00.000 UTC,2183.01,46.72,Tier3,117645987.64788999
2023-05-07 00:00:00.000 UTC,2006.89,44.8,Tier1,43183628.15186198
2023-05-07 00:00:00.000 UTC,3047.22,55.2,Tier3,53211945.579405986
2023-05-08 00:00:00.000 UTC,5787.51,76.08,Tier1,855142600.125287
2023-05-08 00:00:00.000 UTC,88.93,9.43,Tier2,106000000
2023-05-08 00:00:00.000 UTC,210.08,14.49,Tier3,162925369.99758497
2023-05-09 00:00:00.000 UTC,6517.86,80.73,Tier1,749756935.3569169
2023-05-09 00:00:00.000 UTC,15.03,3.88,Tier2,36000000
2023-05-09 00:00:00.000 UTC,236.86,15.39,Tier3,142927056.60012102
2023-05-10 00:00:00.000 UTC,7413.63,86.1,Tier1,784532721.4719702
2023-05-10 00:00:00.000 UTC,1.2,1.1,Tier2,10000000
2023-05-10 00:00:00.000 UTC,163.84,12.8,Tier3,116629389.297964
2023-05-11 00:00:00.000 UTC,5608.6,74.89,Tier1,682241077.167886
2023-05-11 00:00:00.000 UTC,77.12,8.78,Tier2,80000000
2023-05-11 00:00:00.000 UTC,266.59,16.33,Tier3,148742859.142693
2023-05-12 00:00:00.000 UTC,6818.96,82.58,Tier1,615678420.524845
2023-05-12 00:00:00.000 UTC,303.56,17.42,Tier3,129902774.146336
2023-05-13 00:00:00.000 UTC,2500.99,50.01,Tier1,42435684.21158201
2023-05-13 00:00:00.000 UTC,2499.01,49.99,Tier3,42418966.09855901
2023-05-14 00:00:00.000 UTC,2332.63,48.3,Tier1,29664606.34095602
2023-05-14 00:00:00.000 UTC,2673.17,51.7,Tier3,31756238.111151006
2023-05-15 00:00:00.000 UTC,8339.94,91.32,Tier1,1152957402.3015409
2023-05-15 00:00:00.000 UTC,75.29,8.68,Tier3,109543425.48555404
2023-05-16 00:00:00.000 UTC,8192,90.51,Tier1,899178602.8191719
2023-05-16 00:00:00.000 UTC,90.07,9.49,Tier3,94282743.72619002
2023-05-17 00:00:00.000 UTC,7714.5,87.83,Tier1,885557936.2985078
2023-05-17 00:00:00.000 UTC,148.05,12.17,Tier3,122679808.079195
2023-05-18 00:00:00.000 UTC,7944.55,89.13,Tier1,907221970.2647107
2023-05-18 00:00:00.000 UTC,1.63,1.28,Tier2,13000000
2023-05-18 00:00:00.000 UTC,91.98,9.59,Tier3,97616644.43956599
2023-05-19 00:00:00.000 UTC,4144.57,64.38,Tier1,705841596.5352411
2023-05-19 00:00:00.000 UTC,732.51,27.06,Tier2,296738761.24
2023-05-19 00:00:00.000 UTC,73.22,8.56,Tier3,93816434.59452996
2023-05-20 00:00:00.000 UTC,3508.72,59.23,Tier1,30859535.38949803
2023-05-20 00:00:00.000 UTC,1661.83,40.77,Tier3,21237759.399614
2023-05-21 00:00:00.000 UTC,2042.4,45.19,Tier1,110887573.50309625
2023-05-21 00:00:00.000 UTC,1661.02,40.76,Tier2,100000000
2023-05-21 00:00:00.000 UTC,197.44,14.05,Tier3,34477486.19989601
2023-05-22 00:00:00.000 UTC,6852.41,82.78,Tier1,699876018.0176712
2023-05-22 00:00:00.000 UTC,50.36,7.1,Tier2,60000000
2023-05-22 00:00:00.000 UTC,102.5,10.12,Tier3,85596475.83117402
2023-05-23 00:00:00.000 UTC,7609.64,87.23,Tier1,836144228.8076901
2023-05-23 00:00:00.000 UTC,162.99,12.77,Tier3,122370999.00791
2023-05-24 00:00:00.000 UTC,7960.38,89.22,Tier1,2683840596.4347334
2023-05-24 00:00:00.000 UTC,28.45,5.33,Tier2,160449550.45
2023-05-24 00:00:00.000 UTC,29.65,5.45,Tier3,163792497.18465695
2023-05-25 00:00:00.000 UTC,5981.95,77.34,Tier1,848327878.3253108
2023-05-25 00:00:00.000 UTC,67.33,8.21,Tier2,90000000
2023-05-25 00:00:00.000 UTC,208.85,14.45,Tier3,158509962.21460098
2023-05-26 00:00:00.000 UTC,6385.85,79.91,Tier1,667805516.4161508
2023-05-26 00:00:00.000 UTC,93.52,9.67,Tier2,80814185.81
2023-05-26 00:00:00.000 UTC,108.54,10.42,Tier3,87061387.24194802
2023-05-27 00:00:00.000 UTC,6145.67,78.39,Tier1,68288030.70394002
2023-05-27 00:00:00.000 UTC,466.81,21.61,Tier3,18820360.872359
2023-05-28 00:00:00.000 UTC,5827.73,76.34,Tier1,144431684.270363
2023-05-28 00:00:00.000 UTC,559.82,23.66,Tier3,44764671.566854
2023-05-29 00:00:00.000 UTC,5093.71,71.37,Tier1,224616902.157249
2023-05-29 00:00:00.000 UTC,819.66,28.63,Tier3,90103794.22348702
2023-05-30 00:00:00.000 UTC,8472.83,92.05,Tier1,948896438.0563534
2023-05-30 00:00:00.000 UTC,63.23,7.95,Tier3,81975122.064939
2023-05-31 00:00:00.000 UTC,8421.85,91.77,Tier1,893317199.147095
2023-05-31 00:00:00.000 UTC,67.72,8.23,Tier3,80106450.374788
2023-06-01 00:00:00.000 UTC,7765.77,88.12,Tier1,758668117.7654462
2023-06-01 00:00:00.000 UTC,141.05,11.88,Tier3,102245423.81878904
2023-06-02 00:00:00.000 UTC,7598.26,87.17,Tier1,802941741.6496681
2023-06-02 00:00:00.000 UTC,164.66,12.83,Tier3,118200864.8054
2023-06-03 00:00:00.000 UTC,6360.55,79.75,Tier1,101303321.05367798
2023-06-03 00:00:00.000 UTC,409.94,20.25,Tier3,25717919.24463701
2023-06-04 00:00:00.000 UTC,6919.28,83.18,Tier1,133188185.0789019
