collateral_token,date,liquidation_count,liquidation_usd
USDT,2025-11-03 00:00:00.000 UTC,1,1332.46952
USDC,2025-11-04 00:00:00.000 UTC,1,155.126307
USDT,2025-11-04 00:00:00.000 UTC,3,9348.572540000001
USDC,2025-11-06 00:00:00.000 UTC,2,12803.722234
USDC,2025-11-07 00:00:00.000 UTC,1,47.102555
USDC,2025-11-09 00:00:00.000 UTC,2,11205.105159
USDC,2025-11-10 00:00:00.000 UTC,3,2934.575323
USDC,2025-11-13 00:00:00.000 UTC,1,408.588695
USDC,2025-11-15 00:00:00.000 UTC,1,15058.834984
USDC,2025-11-16 00:00:00.000 UTC,1,7632.342024
USDT,2025-11-16 00:00:00.000 UTC,1,23228.891518
USDC,2025-11-17 00:00:00.000 UTC,1,566.794866
USDT,2025-11-17 00:00:00.000 UTC,1,7642.053795
USDC,2025-11-19 00:00:00.000 UTC,1,120.188092
USDC,2025-11-21 00:00:00.000 UTC,1,811.544685
USDT,2025-11-21 00:00:00.000 UTC,6,113127.845281
USDC,2025-11-24 00:00:00.000 UTC,2,28142.157075
USDT,2025-11-25 00:00:00.000 UTC,1,29.447454
USDC,2025-11-26 00:00:00.000 UTC,1,11671.620335
USDT,2025-11-26 00:00:00.000 UTC,1,4.997072
USDT,2025-11-27 00:00:00.000 UTC,2,1557727.220659
USDC,2025-11-28 00:00:00.000 UTC,1,1827.071594
USDC,2025-11-29 00:00:00.000 UTC,1,23.326313
USDC,2025-12-02 00:00:00.000 UTC,2,28562.661806
USDT,2025-12-02 00:00:00.000 UTC,2,3558075.356511
USDC,2025-12-03 00:00:00.000 UTC,2,1176.536478
USDT,2025-12-03 00:00:00.000 UTC,1,5.234887
USDT,2025-12-04 00:00:00.000 UTC,2,6.5693269999999995
USDC,2025-12-09 00:00:00.000 UTC,2,200.733616
USDT,2025-12-09 00:00:00.000 UTC,9,2655936.168589
USDC,2025-12-10 00:00:00.000 UTC,1,0.004147
USDT,2025-12-16 00:00:00.000 UTC,1,87.334457
USDT,2025-12-17 00:00:00.000 UTC,1,109.330362
USDC,2025-12-19 00:00:00.000 UTC,1,6.415244
USDT,2025-12-19 00:00:00.000 UTC,1,2.285787
USDC,2025-12-23 00:00:00.000 UTC,1,2.406359
USDC,2025-12-24 00:00:00.000 UTC,1,3.745062
USDC,2025-12-25 00:00:00.000 UTC,1,73.284138
USDT,2025-12-26 00:00:00.000 UTC,1,1082.183723
USDT,2025-12-29 00:00:00.000 UTC,1,2.848821
DAI,2025-12-31 00:00:00.000 UTC,1,9209664750028.133
USDT,2026-01-02 00:00:00.000 UTC,1,29646.992562
USDT,2026-01-03 00:00:00.000 UTC,1,0.000323
USDC,2026-01-05 00:00:00.000 UTC,2,5.854779000000001
